Código do Município,Sigla da Unidade da Federação,"Municípios e classes de tamanho
da população dos municípios (habitantes)",Urbana,Rural,,,,,,,
3516101,SP,Florínia,88.8,11.2,,,,,,,
4205431,SC,Formosa do Sul,41.7,58.3,,,,,,,
5208103,GO,Formoso,73.9,26.1,,,,,,,
4308433,RS,Forquetinha,18.9,81.1,,,,,,,
3126307,MG,Fortaleza de Minas,72.0,28.0,,,,,,,
1708254,TO,Fortaleza do Tabocão,81.4,18.6,,,,,,,
4308458,RS,Fortaleza dos Valos,65.4,34.6,,,,,,,
3126406,MG,Fortuna de Minas,69.0,31.1,,,,,,,
2204105,PI,Francisco Ayres,48.1,51.9,,,,,,,
2403905,RN,Francisco Dantas,57.3,42.7,,,,,,,
3126604,MG,Francisco Dumont,65.7,34.3,,,,,,,
2204154,PI,Francisco Macedo,40.3,59.7,,,,,,,
3126950,MG,Frei Lagonegro,18.6,81.4,,,,,,,
2506202,PB,Frei Martinho,61.6,38.4,,,,,,,
4205555,SC,Frei Rogério,28.5,71.5,,,,,,,
3127057,MG,Fronteira dos Vales,64.8,35.2,,,,,,,
2404002,RN,Frutuoso Gomes,66.4,33.6,,,,,,,
3127206,MG,Funilândia,52.6,47.4,,,,,,,
3516507,SP,Gabriel Monteiro,83.4,16.7,,,,,,,
2404101,RN,Galinhos,57.3,42.7,,,,,,,
4205605,SC,Galvão,67.6,32.4,,,,,,,
5208152,GO,Gameleira de Goiás,33.4,66.6,,,,,,,
4308656,RS,Garruchos,32.7,67.3,,,,,,,
3516804,SP,Gastão Vidigal,89.6,10.4,,,,,,,
2911253,BA,Gavião,55.7,44.4,,,,,,,
3516853,SP,Gavião Peixoto,80.9,19.1,,,,,,,
2802502,SE,General Maynard,62.9,37.1,,,,,,,
4308854,RS,Gentil,43.1,56.9,,,,,,,
3127354,MG,Glaucilândia,35.4,64.6,,,,,,,
3517109,SP,Glicério,73.7,26.4,,,,,,,
5103957,MT,Glória D'Oeste,68.5,31.5,,,,,,,
4108551,PR,Godoy Moreira,46.4,53.6,,,,,,,
3127370,MG,Goiabeira,81.0,19.0,,,,,,,
3127388,MG,Goianá,81.1,18.9,,,,,,,
1708304,TO,Goianorte,55.7,44.3,,,,,,,
3127404,MG,Gonçalves,27.6,72.4,,,,,,,
5209150,GO,Gouvelândia,78.7,21.3,,,,,,,
4309126,RS,Gramado dos Loureiros,23.2,76.8,,,,,,,
4309159,RS,Gramado Xavier,13.3,86.7,,,,,,,
2304806,CE,Granjeiro,29.6,70.4,,,,,,,
3127909,MG,Grupiara,85.4,14.6,,,,,,,
4309258,RS,Guabiju,46.2,53.8,,,,,,,
4109005,PR,Guapirama,74.5,25.5,,,,,,,
4109104,PR,Guaporema,57.7,42.3,,,,,,,
3128253,MG,Guaraciama,64.1,35.9,,,,,,,
5209291,GO,Guaraíta,60.7,39.3,,,,,,,
2305100,CE,Guaramiranga,59.9,40.1,,,,,,,
5209408,GO,Guarani de Goiás,41.4,58.6,,,,,,,
3518008,SP,Guarani d'Oeste,88.1,11.9,,,,,,,
3128501,MG,Guarará,88.8,11.3,,,,,,,
2204550,PI,Guaribas,29.0,71.0,,,,,,,
5209457,GO,Guarinos,49.2,50.8,,,,,,,
4206603,SC,Guarujá do Sul,54.1,45.9,,,,,,,
4206652,SC,Guatambú,37.4,62.6,,,,,,,
