CBSA_code,MSA,Median,Under18,y18to24,y25to34,y35to44,y45to54,y55to64,y65to74,y75,,,,,,,,,
21140,"Elkhart-Goshen, IN",34.9,"56,175 ","17,603 ","25,303 ","25,947 ","26,664 ","21,905 ","12,676 ","11,286 ",,,,,,,,,
21300,"Elmira, NY",40.9,"19,880 ","7,936 ","10,471 ","10,956 ","13,921 ","11,723 ","6,841 ","7,102 ",,,,,,,,,
21340,"El Paso, TX",31.3,"240,813 ","89,430 ","106,712 ","104,786 ","101,858 ","74,825 ","44,235 ","37,988 ",,,,,,,,,
21500,"Erie, PA",38.6,"63,808 ","32,682 ","32,706 ","33,883 ","41,225 ","35,438 ","20,427 ","20,397 ",,,,,,,,,
21660,"Eugene-Springfield, OR",39.0,"69,689 ","44,248 ","46,026 ","40,747 ","48,150 ","50,074 ","28,358 ","24,423 ",,,,,,,,,
21780,"Evansville, IN-KY",38.9,"83,669 ","34,834 ","44,255 ","44,055 ","54,801 ","45,744 ","26,793 ","24,525 ",,,,,,,,,
21820,"Fairbanks, AK",31.0,"25,001 ","13,077 ","16,240 ","12,467 ","13,545 ","10,876 ","4,170 ","2,205 ",,,,,,,,,
22020,"Fargo, ND-MN",31.5,"46,404 ","34,584 ","33,344 ","24,884 ","26,584 ","21,349 ","10,593 ","11,035 ",,,,,,,,,
22140,"Farmington, NM",33.0,"37,651 ","12,728 ","17,906 ","15,161 ","18,197 ","14,318 ","7,910 ","6,173 ",,,,,,,,,
22180,"Fayetteville, NC",31.0,"99,726 ","44,669 ","58,897 ","46,864 ","47,504 ","35,040 ","19,721 ","13,962 ",,,,,,,,,
22220,"Fayetteville-Springdale-Rogers, AR-MO",33.0,"123,608 ","51,987 ","69,227 ","61,743 ","58,888 ","45,785 ","28,981 ","22,985 ",,,,,,,,,
22380,"Flagstaff, AZ",31.0,"31,788 ","23,768 ","18,129 ","15,499 ","17,953 ","15,360 ","7,447 ","4,477 ",,,,,,,,,
22420,"Flint, MI",38.5,"106,579 ","38,081 ","50,224 ","55,060 ","64,981 ","52,676 ","30,938 ","27,251 ",,,,,,,,,
22500,"Florence, SC",38.3,"50,358 ","19,316 ","24,654 ","26,590 ","29,576 ","27,262 ","16,285 ","11,525 ",,,,,,,,,
22520,"Florence-Muscle Shoals, AL",40.9,"32,016 ","14,574 ","16,315 ","18,336 ","21,539 ","19,341 ","13,774 ","11,242 ",,,,,,,,,
22540,"Fond du Lac, WI",40.2,"23,044 ","9,232 ","12,299 ","12,867 ","15,878 ","13,088 ","7,477 ","7,748 ",,,,,,,,,
22660,"Fort Collins-Loveland, CO",35.5,"64,057 ","41,794 ","42,131 ","36,565 ","42,567 ","36,975 ","19,814 ","15,727 ",,,,,,,,,
22900,"Fort Smith, AR-OK",37.7,"76,034 ","26,760 ","36,545 ","38,239 ","43,122 ","36,164 ","23,935 ","17,793 ",,,,,,,,,
23060,"Fort Wayne, IN",36.0,"111,040 ","38,254 ","53,630 ","53,332 ","59,929 ","48,946 ","26,528 ","24,598 ",,,,,,,,,
23420,"Fresno, CA",30.6,"277,507 ","108,518 ","132,729 ","114,369 ","115,052 ","88,854 ","49,499 ","43,922 ",,,,,,,,,
23460,"Gadsden, AL",40.2,"23,986 ","8,893 ","12,046 ","13,956 ","14,894 ","14,147 ","9,097 ","7,411 ",,,,,,,,,
23540,"Gainesville, FL",30.6,"47,916 ","59,474 ","38,593 ","27,452 ","31,910 ","29,447 ","16,250 ","13,233 ",,,,,,,,,
23580,"Gainesville, GA",34.5,"50,166 ","16,721 ","24,141 ","25,660 ","24,185 ","18,801 ","11,571 ","8,439 ",,,,,,,,,
24020,"Glens Falls, NY",42.9,"26,862 ","10,473 ","14,252 ","16,913 ","21,192 ","18,277 ","11,165 ","9,789 ",,,,,,,,,
24140,"Goldsboro, NC",36.6,"30,484 ","12,281 ","16,157 ","15,454 ","17,733 ","14,436 ","9,100 ","6,978 ",,,,,,,,,
24220,"Grand Forks, ND-MN",32.4,"20,942 ","17,664 ","13,326 ","10,384 ","13,086 ","10,936 ","5,962 ","6,161 ",,,,,,,,,
24300,"Grand Junction, CO",38.1,"34,517 ","14,564 ","19,176 ","16,675 ","20,998 ","18,921 ","11,453 ","10,419 ",,,,,,,,,
24340,"Grand Rapids-Wyoming, MI",35.5,"200,364 ","77,816 ","104,007 ","99,310 ","114,353 ","87,814 ","47,576 ","42,920 ",,,,,,,,,
24500,"Great Falls, MT",38.9,"18,630 ","8,254 ","10,418 ","9,039 ","11,994 ","10,302 ","6,688 ","6,002 ",,,,,,,,,
24540,"Greeley, CO",33.1,"70,401 ","27,719 ","34,915 ","34,710 ","34,064 ","26,781 ","14,114 ","10,121 ",,,,,,,,,
24580,"Green Bay, WI",37.7,"75,104 ","28,282 ","40,024 ","40,490 ","47,829 ","36,308 ","20,172 ","18,032 ",,,,,,,,,
24660,"Greensboro-High Point, NC",37.8,"169,986 ","75,533 ","90,208 ","100,423 ","105,414 ","86,994 ","52,101 ","43,142 ",,,,,,,,,
24780,"Greenville, NC",31.8,"42,750 ","32,748 ","27,196 ","23,525 ","24,203 ","19,804 ","10,791 ","8,493 ",,,,,,,,,
24860,"Greenville-Mauldin-Easley, SC",37.1,"149,031 ","71,120 ","81,226 ","85,537 ","90,786 ","75,724 ","47,321 ","36,241 ",,,,,,,,,
25060,"Gulfport-Biloxi, MS",36.4,"60,682 ","25,854 ","33,836 ","31,375 ","36,838 ","29,454 ","18,061 ","12,720 ",,,,,,,,,
25180,"Hagerstown-Martinsburg, MD-WV",39.2,"63,595 ","21,506 ","34,324 ","38,471 ","41,542 ","33,524 ","20,033 ","16,145 ",,,,,,,,,
25260,"Hanford-Corcoran, CA",31.1,"42,548 ","17,731 ","25,589 ","21,878 ","20,282 ","12,924 ","6,844 ","5,186 ",,,,,,,,,
25420,"Harrisburg-Carlisle, PA",39.9,"121,633 ","51,590 ","67,953 ","71,206 ","84,416 ","72,797 ","41,163 ","38,717 ",,,,,,,,,
25500,"Harrisonburg, VA",31.7,"25,420 ","27,098 ","14,492 ","13,846 ","15,612 ","12,763 ","8,197 ","7,800 ",,,,,,,,,
25540,"Hartford-West Hartford-East Hartford, CT",40.2,"270,025 ","116,679 ","142,410 ","161,327 ","194,960 ","153,020 ","87,398 ","86,562 ",,,,,,,,,
25620,"Hattiesburg, MS",32.6,"35,425 ","19,096 ","21,375 ","17,665 ","18,269 ","14,608 ","9,242 ","7,162 ",,,,,,,,,
25860,"Hickory-Lenoir-Morganton, NC",40.5,"84,222 ","29,841 ","40,946 ","51,674 ","55,681 ","48,244 ","31,566 ","23,323 ",,,,,,,,,
25980,"Hinesville-Fort Stewart, GA",28.4,"23,610 ","10,343 ","12,743 ","9,725 ","9,829 ","6,641 ","3,289 ","1,737 ",,,,,,,,,
26100,"Holland-Grand Haven, MI",34.5,"68,737 ","33,846 ","30,765 ","33,212 ","37,340 ","28,878 ","16,599 ","14,424 ",,,,,,,,,
26180,"Honolulu, HI",37.8,"210,500 ","98,273 ","134,446 ","125,296 ","131,724 ","114,478 ","68,927 ","69,563 ",,,,,,,,,
26300,"Hot Springs, AR",44.4,"20,093 ","7,344 ","10,384 ","10,915 ","13,464 ","13,726 ","10,839 ","9,259 ",,,,,,,,,
26380,"Houma-Bayou Cane-Thibodaux, LA",35.7,"52,789 ","21,355 ","28,333 ","26,896 ","31,094 ","23,114 ","14,037 ","10,560 ",,,,,,,,,
26420,"Houston-Sugar Land-Baytown, TX",33.2,"1,662,290 ","568,567 ","899,647 ","860,502 ","833,352 ","610,882 ","303,272 ","208,288 ",,,,,,,,,
26580,"Huntington-Ashland, WV-KY-OH",40.4,"61,997 ","26,386 ","35,557 ","37,290 ","41,406 ","38,441 ","25,499 ","21,126 ",,,,,,,,,
26620,"Huntsville, AL",37.6,"99,349 ","41,213 ","55,009 ","56,572 ","66,783 ","47,607 ","29,280 ","21,780 ",,,,,,,,,
26820,"Idaho Falls, ID",31.3,"42,081 ","10,889 ","18,923 ","15,015 ","16,415 ","13,204 ","7,603 ","6,244 ",,,,,,,,,
26900,"Indianapolis-Carmel, IN",35.5,"459,847 ","155,578 ","249,398 ","247,682 ","260,766 ","191,997 ","104,950 ","86,023 ",,,,,,,,,
26980,"Iowa City, IA",30.5,"31,377 ","29,542 ","24,837 ","17,569 ","18,376 ","15,916 ","7,871 ","7,098 ",,,,,,,,,
27060,"Ithaca, NY",29.8,"16,659 ","26,624 ","13,684 ","10,382 ","11,982 ","11,304 ","5,711 ","5,218 ",,,,,,,,,
27100,"Jackson, MI",39.7,"37,195 ","14,888 ","18,608 ","21,220 ","25,012 ","20,646 ","11,922 ","10,757 ",,,,,,,,,
27140,"Jackson, MS",34.9,"140,860 ","53,975 ","75,667 ","69,954 ","76,539 ","61,481 ","33,802 ","26,779 ",,,,,,,,,
27180,"Jackson, TN",36.7,"27,624 ","13,562 ","14,216 ","14,174 ","16,525 ","13,892 ","8,414 ","7,018 ",,,,,,,,,
27260,"Jacksonville, FL",37.5,"320,501 ","129,724 ","180,439 ","183,298 ","204,812 ","163,704 ","92,700 ","70,418 ",,,,,,,,,
27340,"Jacksonville, NC",25.7,"44,938 ","40,862 ","28,996 ","18,632 ","18,058 ","13,024 ","7,943 ","5,319 ",,,,,,,,,
27500,"Janesville, WI",38.0,"40,183 ","13,795 ","20,159 ","21,393 ","24,117 ","18,925 ","11,466 ","10,293 ",,,,,,,,,
27620,"Jefferson City, MO",37.9,"35,299 ","14,594 ","19,601 ","19,899 ","22,877 ","18,522 ","10,240 ","8,775 ",,,,,,,,,
27740,"Johnson City, TN",40.6,"40,050 ","20,913 ","23,591 ","26,281 ","29,086 ","26,615 ","18,232 ","13,948 ",,,,,,,,,
27780,"Johnstown, PA",43.8,"28,235 ","13,405 ","15,086 ","17,246 ","21,912 ","20,724 ","12,683 ","14,388 ",,,,,,,,,
27860,"Jonesboro, AR",34.4,"30,100 ","14,625 ","16,678 ","15,082 ","15,635 ","13,266 ","8,752 ","6,888 ",,,,,,,,,
27900,"Joplin, MO",36.3,"45,041 ","17,313 ","22,604 ","21,629 ","24,227 ","20,133 ","13,338 ","11,233 ",,,,,,,,,
28020,"Kalamazoo-Portage, MI",35.5,"76,334 ","43,462 ","41,763 ","39,105 ","45,751 ","38,871 ","21,932 ","19,371 ",,,,,,,,,
28100,"Kankakee-Bradley, IL",36.7,"28,754 ","11,583 ","14,133 ","14,203 ","16,182 ","13,357 ","7,952 ","7,285 ",,,,,,,,,
28140,"Kansas City, MO-KS",36.5,"521,860 ","168,558 ","285,929 ","275,455 ","303,991 ","235,917 ","130,423 ","113,201 ",,,,,,,,,
28420,"Kennewick-Pasco-Richland, WA",32.9,"74,378 ","23,760 ","35,707 ","31,881 ","33,423 ","27,909 ","14,805 ","11,477 ",,,,,,,,,
